MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"31,871","+/-1,360",(X),(X),"36,845","+/-1,879",(X),(X),"26,438","+/-2,159",(X),(X)
Less than high school graduate,"17,477","+/-3,540",(X),(X),"20,000","+/-6,304",(X),(X),"16,143","+/-2,792",(X),(X)
High school graduate (includes equivalency),"30,401","+/-2,596",(X),(X),"35,720","+/-3,430",(X),(X),"22,371","+/-2,682",(X),(X)
Some college or associate's degree,"32,539","+/-2,879",(X),(X),"41,722","+/-3,222",(X),(X),"28,039","+/-4,241",(X),(X)
Bachelor's degree,"41,003","+/-2,664",(X),(X),"44,107","+/-10,909",(X),(X),"37,344","+/-4,193",(X),(X)
Graduate or professional degree,"58,800","+/-8,240",(X),(X),"100,385","+/-66,718",(X),(X),"52,872","+/-3,281",(X),(X)
