MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"31,810","+/-1,044",(X),(X),"36,917","+/-1,552",(X),(X),"25,067","+/-2,345",(X),(X)
Less than high school graduate,"20,250","+/-7,446",(X),(X),"24,761","+/-5,392",(X),(X),"11,838","+/-3,519",(X),(X)
High school graduate (includes equivalency),"28,516","+/-4,282",(X),(X),"35,088","+/-4,879",(X),(X),"19,955","+/-3,573",(X),(X)
Some college or associate's degree,"31,864","+/-1,486",(X),(X),"39,522","+/-6,828",(X),(X),"25,672","+/-2,886",(X),(X)
Bachelor's degree,"47,484","+/-6,039",(X),(X),"62,308","+/-9,376",(X),(X),"40,687","+/-5,937",(X),(X)
Graduate or professional degree,"49,844","+/-6,321",(X),(X),"47,353","+/-15,586",(X),(X),"50,000","+/-5,511",(X),(X)
