MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"31,833",+/-740,(X),(X),"40,609","+/-1,794",(X),(X),"24,643","+/-2,267",(X),(X)
Less than high school graduate,"25,641","+/-2,475",(X),(X),"29,063","+/-5,316",(X),(X),"16,750","+/-10,324",(X),(X)
High school graduate (includes equivalency),"30,538","+/-1,011",(X),(X),"37,370","+/-2,430",(X),(X),"21,818","+/-1,854",(X),(X)
Some college or associate's degree,"31,696","+/-1,675",(X),(X),"40,978","+/-3,379",(X),(X),"23,052","+/-3,344",(X),(X)
Bachelor's degree,"42,121","+/-2,770",(X),(X),"56,680","+/-4,798",(X),(X),"31,905","+/-3,993",(X),(X)
Graduate or professional degree,"52,200","+/-8,666",(X),(X),"57,386","+/-8,043",(X),(X),"42,279","+/-7,045",(X),(X)
