MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"31,335",+/-942,(X),(X),"37,470","+/-2,335",(X),(X),"22,987","+/-2,999",(X),(X)
Less than high school graduate,"22,104","+/-5,335",(X),(X),"25,284","+/-5,488",(X),(X),"16,281","+/-7,936",(X),(X)
High school graduate (includes equivalency),"30,972","+/-1,153",(X),(X),"37,241","+/-2,225",(X),(X),"17,580","+/-2,796",(X),(X)
Some college or associate's degree,"30,570","+/-2,288",(X),(X),"39,009","+/-4,137",(X),(X),"25,860","+/-1,612",(X),(X)
Bachelor's degree,"35,385","+/-5,657",(X),(X),"53,594","+/-14,573",(X),(X),"31,543","+/-2,048",(X),(X)
Graduate or professional degree,"58,382","+/-3,587",(X),(X),"64,226","+/-4,808",(X),(X),"52,292","+/-7,730",(X),(X)
