MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"30,554","+/-1,010",(X),(X),"36,721","+/-1,319",(X),(X),"21,012","+/-1,646",(X),(X)
Less than high school graduate,"21,240","+/-4,224",(X),(X),"25,336","+/-6,204",(X),(X),"15,505","+/-3,825",(X),(X)
High school graduate (includes equivalency),"30,046","+/-4,566",(X),(X),"36,335","+/-1,745",(X),(X),"16,920","+/-2,420",(X),(X)
Some college or associate's degree,"30,000","+/-3,189",(X),(X),"39,352","+/-4,744",(X),(X),"23,995","+/-2,467",(X),(X)
Bachelor's degree,"35,000","+/-4,555",(X),(X),"50,294","+/-22,035",(X),(X),"31,741","+/-1,718",(X),(X)
Graduate or professional degree,"55,500","+/-5,450",(X),(X),"62,379","+/-3,030",(X),(X),"49,018","+/-11,371",(X),(X)
