MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"34,489","+/-1,321",(X),(X),"42,079",+/-981,(X),(X),"26,365",+/-994,(X),(X)
Less than high school graduate,"30,845","+/-3,233",(X),(X),"34,840","+/-5,922",(X),(X),"23,792","+/-2,138",(X),(X)
High school graduate (includes equivalency),"31,950","+/-1,759",(X),(X),"40,571","+/-1,486",(X),(X),"23,369","+/-1,388",(X),(X)
Some college or associate's degree,"34,386","+/-2,168",(X),(X),"43,212","+/-3,007",(X),(X),"26,756","+/-1,292",(X),(X)
Bachelor's degree,"42,500","+/-4,169",(X),(X),"57,000","+/-7,591",(X),(X),"35,871","+/-4,451",(X),(X)
Graduate or professional degree,"51,563","+/-11,518",(X),(X),"70,208","+/-24,766",(X),(X),"42,625","+/-6,764",(X),(X)
