MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"31,151",+/-805,(X),(X),"37,305","+/-2,324",(X),(X),"25,740",+/-841,(X),(X)
Less than high school graduate,"16,970","+/-1,492",(X),(X),"19,575","+/-3,522",(X),(X),"15,429","+/-5,732",(X),(X)
High school graduate (includes equivalency),"28,307","+/-2,729",(X),(X),"35,552","+/-2,755",(X),(X),"22,470","+/-1,351",(X),(X)
Some college or associate's degree,"31,221","+/-1,102",(X),(X),"36,856","+/-2,650",(X),(X),"26,374","+/-1,415",(X),(X)
Bachelor's degree,"39,611","+/-2,890",(X),(X),"45,994","+/-7,600",(X),(X),"33,991","+/-4,220",(X),(X)
Graduate or professional degree,"53,813","+/-5,391",(X),(X),"67,929","+/-10,548",(X),(X),"44,250","+/-7,713",(X),(X)
