MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"35,327","+/-1,336",(X),(X),"41,779","+/-1,279",(X),(X),"26,350","+/-1,207",(X),(X)
Less than high school graduate,"24,960","+/-5,063",(X),(X),"37,337","+/-5,055",(X),(X),"10,849","+/-2,301",(X),(X)
High school graduate (includes equivalency),"31,593","+/-1,089",(X),(X),"39,675","+/-1,789",(X),(X),"23,405","+/-2,645",(X),(X)
Some college or associate's degree,"35,530","+/-2,039",(X),(X),"42,804","+/-6,101",(X),(X),"26,565","+/-1,586",(X),(X)
Bachelor's degree,"41,598","+/-2,420",(X),(X),"51,071","+/-5,778",(X),(X),"37,108","+/-4,282",(X),(X)
Graduate or professional degree,"52,035","+/-4,950",(X),(X),"65,129","+/-8,239",(X),(X),"50,255","+/-7,434",(X),(X)
