MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"31,612","+/-1,100",(X),(X),"39,711","+/-2,738",(X),(X),"24,100","+/-1,383",(X),(X)
Less than high school graduate,"20,779","+/-2,512",(X),(X),"25,436","+/-4,140",(X),(X),"17,245","+/-1,959",(X),(X)
High school graduate (includes equivalency),"30,255","+/-1,930",(X),(X),"38,816","+/-4,157",(X),(X),"22,011","+/-1,188",(X),(X)
Some college or associate's degree,"34,726","+/-3,307",(X),(X),"43,529","+/-5,560",(X),(X),"25,072","+/-2,555",(X),(X)
Bachelor's degree,"43,814","+/-4,903",(X),(X),"54,038","+/-6,970",(X),(X),"40,839","+/-3,328",(X),(X)
Graduate or professional degree,"47,833","+/-8,177",(X),(X),"49,013","+/-9,628",(X),(X),"46,161","+/-10,246",(X),(X)
