MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"30,754","+/-1,286",(X),(X),"38,738","+/-2,994",(X),(X),"23,041","+/-1,565",(X),(X)
Less than high school graduate,"19,488","+/-2,157",(X),(X),"23,625","+/-3,551",(X),(X),"17,382","+/-1,564",(X),(X)
High school graduate (includes equivalency),"28,816","+/-2,386",(X),(X),"38,357","+/-4,819",(X),(X),"21,459","+/-1,088",(X),(X)
Some college or associate's degree,"33,409","+/-4,140",(X),(X),"44,511","+/-7,175",(X),(X),"24,569","+/-2,331",(X),(X)
Bachelor's degree,"42,839","+/-4,970",(X),(X),"55,350","+/-10,588",(X),(X),"37,763","+/-5,710",(X),(X)
Graduate or professional degree,"45,488","+/-7,648",(X),(X),"48,750","+/-9,864",(X),(X),"41,923","+/-12,060",(X),(X)
