MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"33,797","+/-2,047",(X),(X),"41,054","+/-2,850",(X),(X),"27,887","+/-3,140",(X),(X)
Less than high school graduate,"21,673","+/-3,672",(X),(X),"24,391","+/-4,679",(X),(X),"16,809","+/-2,336",(X),(X)
High school graduate (includes equivalency),"29,759","+/-2,101",(X),(X),"37,146","+/-4,196",(X),(X),"23,283","+/-2,069",(X),(X)
Some college or associate's degree,"35,036","+/-2,652",(X),(X),"40,393","+/-5,319",(X),(X),"28,393","+/-5,362",(X),(X)
Bachelor's degree,"41,676","+/-5,241",(X),(X),"55,495","+/-4,886",(X),(X),"38,548","+/-5,074",(X),(X)
Graduate or professional degree,"67,131","+/-5,596",(X),(X),"78,798","+/-8,251",(X),(X),"59,242","+/-3,838",(X),(X)
