MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"33,777","+/-2,092",(X),(X),"40,348","+/-2,329",(X),(X),"28,231","+/-3,846",(X),(X)
Less than high school graduate,"21,355","+/-2,580",(X),(X),"21,365","+/-3,661",(X),(X),"21,333","+/-5,680",(X),(X)
High school graduate (includes equivalency),"29,299","+/-3,174",(X),(X),"37,784","+/-3,161",(X),(X),"22,959","+/-1,610",(X),(X)
Some college or associate's degree,"34,758","+/-2,500",(X),(X),"40,257","+/-4,182",(X),(X),"30,179","+/-4,369",(X),(X)
Bachelor's degree,"41,970","+/-8,017",(X),(X),"55,417","+/-5,706",(X),(X),"39,534","+/-3,993",(X),(X)
Graduate or professional degree,"65,361","+/-7,567",(X),(X),"76,055","+/-8,850",(X),(X),"57,900","+/-9,400",(X),(X)
