MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"35,693","+/-1,463",(X),(X),"41,532","+/-1,461",(X),(X),"29,792","+/-3,731",(X),(X)
Less than high school graduate,"22,428","+/-3,594",(X),(X),"25,063","+/-6,683",(X),(X),"20,625","+/-7,177",(X),(X)
High school graduate (includes equivalency),"29,972","+/-2,381",(X),(X),"40,629","+/-2,678",(X),(X),"22,428","+/-1,640",(X),(X)
Some college or associate's degree,"36,280","+/-2,995",(X),(X),"40,908","+/-2,678",(X),(X),"32,232","+/-3,058",(X),(X)
Bachelor's degree,"46,131","+/-9,606",(X),(X),"60,114","+/-15,800",(X),(X),"41,094","+/-1,946",(X),(X)
Graduate or professional degree,"61,701","+/-7,381",(X),(X),"70,990","+/-9,392",(X),(X),"56,042","+/-9,150",(X),(X)
