MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"32,210",+/-682,(X),(X),"41,487",+/-967,(X),(X),"23,758","+/-1,018",(X),(X)
Less than high school graduate,"20,097","+/-2,733",(X),(X),"25,188","+/-4,169",(X),(X),"12,826","+/-2,635",(X),(X)
High school graduate (includes equivalency),"30,124","+/-1,444",(X),(X),"37,224","+/-2,533",(X),(X),"20,254","+/-1,428",(X),(X)
Some college or associate's degree,"32,320","+/-1,303",(X),(X),"44,120","+/-2,674",(X),(X),"24,938","+/-2,033",(X),(X)
Bachelor's degree,"41,866","+/-1,924",(X),(X),"52,408","+/-5,183",(X),(X),"31,667","+/-2,728",(X),(X)
Graduate or professional degree,"60,406","+/-1,901",(X),(X),"76,522","+/-11,377",(X),(X),"53,320","+/-5,018",(X),(X)
