MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"32,226",+/-736,(X),(X),"42,069","+/-1,102",(X),(X),"24,171",+/-965,(X),(X)
Less than high school graduate,"20,682","+/-1,687",(X),(X),"25,060","+/-2,848",(X),(X),"13,595","+/-2,367",(X),(X)
High school graduate (includes equivalency),"29,820","+/-1,722",(X),(X),"38,881","+/-2,923",(X),(X),"20,397","+/-1,312",(X),(X)
Some college or associate's degree,"32,036","+/-1,191",(X),(X),"43,355","+/-4,550",(X),(X),"25,271","+/-1,622",(X),(X)
Bachelor's degree,"43,280","+/-3,707",(X),(X),"57,576","+/-9,001",(X),(X),"33,663","+/-3,462",(X),(X)
Graduate or professional degree,"60,505","+/-3,881",(X),(X),"71,607","+/-13,111",(X),(X),"52,774","+/-7,475",(X),(X)
