MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"38,097","+/-1,875",(X),(X),"50,491","+/-1,151",(X),(X),"28,769","+/-1,676",(X),(X)
Less than high school graduate,"19,394","+/-4,974",(X),(X),"26,274","+/-3,812",(X),(X),"11,447","+/-3,923",(X),(X)
High school graduate (includes equivalency),"29,449","+/-1,759",(X),(X),"36,719","+/-3,211",(X),(X),"22,628","+/-3,419",(X),(X)
Some college or associate's degree,"36,080","+/-1,698",(X),(X),"49,681","+/-3,126",(X),(X),"26,584","+/-1,982",(X),(X)
Bachelor's degree,"51,432","+/-1,847",(X),(X),"63,716","+/-7,028",(X),(X),"41,352","+/-6,728",(X),(X)
Graduate or professional degree,"67,453","+/-6,976",(X),(X),"87,531","+/-20,521",(X),(X),"55,571","+/-9,725",(X),(X)
