MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"31,196","+/-1,584",(X),(X),"36,900","+/-2,085",(X),(X),"24,941","+/-1,844",(X),(X)
Less than high school graduate,"28,158","+/-3,842",(X),(X),"30,387","+/-2,454",(X),(X),"13,077","+/-4,341",(X),(X)
High school graduate (includes equivalency),"30,453","+/-3,729",(X),(X),"38,348","+/-3,031",(X),(X),"22,943","+/-1,983",(X),(X)
Some college or associate's degree,"30,298","+/-4,396",(X),(X),"36,944","+/-7,487",(X),(X),"26,257","+/-2,033",(X),(X)
Bachelor's degree,"43,281","+/-6,621",(X),(X),"57,083","+/-18,960",(X),(X),"35,804","+/-8,751",(X),(X)
Graduate or professional degree,"43,828","+/-26,935",(X),(X),"52,951","+/-44,153",(X),(X),"38,750","+/-27,919",(X),(X)
