MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"32,432","+/-1,930",(X),(X),"41,096","+/-1,401",(X),(X),"22,900","+/-1,738",(X),(X)
Less than high school graduate,"27,382","+/-6,480",(X),(X),"35,096","+/-2,996",(X),(X),"13,582","+/-3,688",(X),(X)
High school graduate (includes equivalency),"30,161","+/-2,434",(X),(X),"40,240","+/-3,340",(X),(X),"21,591","+/-1,691",(X),(X)
Some college or associate's degree,"32,782","+/-3,283",(X),(X),"45,504","+/-4,895",(X),(X),"23,103","+/-4,103",(X),(X)
Bachelor's degree,"41,512","+/-6,354",(X),(X),"57,052","+/-9,475",(X),(X),"32,344","+/-4,948",(X),(X)
Graduate or professional degree,"54,051","+/-6,411",(X),(X),"58,897","+/-12,600",(X),(X),"52,500","+/-5,071",(X),(X)
