MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"32,778","+/-1,849",(X),(X),"39,678","+/-1,836",(X),(X),"23,651","+/-1,919",(X),(X)
Less than high school graduate,"26,550","+/-4,536",(X),(X),"32,424","+/-3,587",(X),(X),"14,531","+/-3,368",(X),(X)
High school graduate (includes equivalency),"30,348","+/-1,893",(X),(X),"39,365","+/-2,654",(X),(X),"21,707","+/-1,736",(X),(X)
Some college or associate's degree,"33,422","+/-3,078",(X),(X),"45,334","+/-4,590",(X),(X),"24,449","+/-4,636",(X),(X)
Bachelor's degree,"42,477","+/-3,944",(X),(X),"56,136","+/-7,215",(X),(X),"32,563","+/-7,415",(X),(X)
Graduate or professional degree,"55,544","+/-4,021",(X),(X),"55,724","+/-9,540",(X),(X),"55,465","+/-5,598",(X),(X)
