MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"30,455","+/-1,532",(X),(X),"35,387","+/-1,861",(X),(X),"23,509","+/-1,894",(X),(X)
Less than high school graduate,"28,413","+/-3,551",(X),(X),"32,664","+/-5,222",(X),(X),"7,112","+/-1,818",(X),(X)
High school graduate (includes equivalency),"30,358","+/-2,496",(X),(X),"35,167","+/-4,603",(X),(X),"23,594","+/-1,896",(X),(X)
Some college or associate's degree,"28,407","+/-3,770",(X),(X),"35,955","+/-1,671",(X),(X),"22,055","+/-3,224",(X),(X)
Bachelor's degree,"45,909","+/-22,862",(X),(X),"37,031","+/-22,277",(X),(X),"50,074","+/-38,405",(X),(X)
Graduate or professional degree,"41,950","+/-5,870",(X),(X),-,**,(X),(X),"42,000","+/-4,815",(X),(X)
