MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"32,878","+/-1,872",(X),(X),"35,711","+/-1,531",(X),(X),"29,518","+/-2,248",(X),(X)
Less than high school graduate,"26,607","+/-2,946",(X),(X),"28,578","+/-5,068",(X),(X),"20,641","+/-4,142",(X),(X)
High school graduate (includes equivalency),"29,304","+/-2,043",(X),(X),"32,866","+/-4,012",(X),(X),"24,545","+/-4,496",(X),(X)
Some college or associate's degree,"34,590","+/-1,968",(X),(X),"40,659","+/-4,654",(X),(X),"31,172","+/-2,969",(X),(X)
Bachelor's degree,"41,774","+/-5,389",(X),(X),"41,442","+/-10,737",(X),(X),"42,143","+/-5,688",(X),(X)
Graduate or professional degree,"52,240","+/-9,787",(X),(X),"56,250","+/-23,536",(X),(X),"47,381","+/-8,911",(X),(X)
