MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"29,653","+/-1,768",(X),(X),"32,072","+/-1,713",(X),(X),"26,047","+/-1,355",(X),(X)
Less than high school graduate,"21,164","+/-1,394",(X),(X),"24,321","+/-3,999",(X),(X),"11,831","+/-6,988",(X),(X)
High school graduate (includes equivalency),"26,625","+/-1,168",(X),(X),"30,429","+/-2,863",(X),(X),"23,191","+/-3,313",(X),(X)
Some college or associate's degree,"31,565","+/-1,567",(X),(X),"35,689","+/-4,303",(X),(X),"29,181","+/-3,390",(X),(X)
Bachelor's degree,"36,419","+/-3,222",(X),(X),"40,823","+/-7,749",(X),(X),"31,806","+/-6,233",(X),(X)
Graduate or professional degree,"52,147","+/-14,207",(X),(X),"65,951","+/-15,167",(X),(X),"47,955","+/-7,824",(X),(X)
