MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"33,719","+/-1,580",(X),(X),"39,234","+/-3,630",(X),(X),"26,077","+/-1,490",(X),(X)
Less than high school graduate,"22,165","+/-5,409",(X),(X),"26,141","+/-5,896",(X),(X),"14,107","+/-10,167",(X),(X)
High school graduate (includes equivalency),"30,994","+/-1,944",(X),(X),"36,291","+/-1,203",(X),(X),"20,523","+/-3,128",(X),(X)
Some college or associate's degree,"34,011","+/-2,532",(X),(X),"44,048","+/-6,341",(X),(X),"25,951","+/-1,903",(X),(X)
Bachelor's degree,"40,660","+/-4,845",(X),(X),"60,819","+/-5,538",(X),(X),"35,221","+/-6,219",(X),(X)
Graduate or professional degree,"57,159","+/-26,496",(X),(X),"78,214","+/-20,558",(X),(X),"50,781","+/-15,010",(X),(X)
