MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"31,127",+/-937,(X),(X),"38,637","+/-2,176",(X),(X),"23,657",+/-897,(X),(X)
Less than high school graduate,"24,122","+/-2,998",(X),(X),"28,333","+/-6,158",(X),(X),"16,042","+/-8,635",(X),(X)
High school graduate (includes equivalency),"26,958","+/-1,398",(X),(X),"36,271","+/-1,667",(X),(X),"20,860","+/-1,232",(X),(X)
Some college or associate's degree,"30,246","+/-1,782",(X),(X),"38,855","+/-3,510",(X),(X),"22,937","+/-1,565",(X),(X)
Bachelor's degree,"45,768","+/-4,975",(X),(X),"67,344","+/-10,122",(X),(X),"35,441","+/-4,271",(X),(X)
Graduate or professional degree,"54,750","+/-7,273",(X),(X),"57,750","+/-9,978",(X),(X),"52,480","+/-9,040",(X),(X)
