MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"37,448","+/-2,516",(X),(X),"50,840","+/-2,193",(X),(X),"29,218","+/-2,251",(X),(X)
Less than high school graduate,"14,631","+/-3,619",(X),(X),-,**,(X),(X),"12,063","+/-4,964",(X),(X)
High school graduate (includes equivalency),"34,133","+/-3,539",(X),(X),"46,855","+/-4,649",(X),(X),"24,783","+/-5,213",(X),(X)
Some college or associate's degree,"36,760","+/-3,854",(X),(X),"49,940","+/-3,752",(X),(X),"27,375","+/-3,794",(X),(X)
Bachelor's degree,"43,712","+/-3,894",(X),(X),"61,375","+/-9,526",(X),(X),"34,409","+/-2,442",(X),(X)
Graduate or professional degree,"52,171","+/-6,822",(X),(X),"69,083","+/-36,169",(X),(X),"51,086","+/-8,777",(X),(X)
