MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"36,038",+/-136,(X),(X),"43,264",+/-316,(X),(X),"29,391",+/-224,(X),(X)
Less than high school graduate,"22,250",+/-229,(X),(X),"27,129",+/-378,(X),(X),"16,458",+/-323,(X),(X)
High school graduate (includes equivalency),"30,585",+/-143,(X),(X),"37,111",+/-208,(X),(X),"22,872",+/-293,(X),(X)
Some college or associate's degree,"34,115",+/-280,(X),(X),"42,988",+/-424,(X),(X),"27,550",+/-257,(X),(X)
Bachelor's degree,"47,950",+/-538,(X),(X),"60,800",+/-440,(X),(X),"39,805",+/-527,(X),(X)
Graduate or professional degree,"61,336",+/-457,(X),(X),"74,237",+/-916,(X),(X),"53,098",+/-838,(X),(X)
