MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"29,703","+/-2,317",(X),(X),"40,259","+/-2,935",(X),(X),"20,275","+/-3,684",(X),(X)
Less than high school graduate,"26,444","+/-3,547",(X),(X),"32,105","+/-8,994",(X),(X),"11,000","+/-9,115",(X),(X)
High school graduate (includes equivalency),"29,663","+/-4,010",(X),(X),"37,830","+/-6,077",(X),(X),"20,441","+/-3,816",(X),(X)
Some college or associate's degree,"28,866","+/-3,338",(X),(X),"41,573","+/-4,111",(X),(X),"20,579","+/-6,660",(X),(X)
Bachelor's degree,"37,198","+/-5,642",(X),(X),"56,552","+/-5,585",(X),(X),"16,454","+/-6,534",(X),(X)
Graduate or professional degree,"43,750","+/-17,102",(X),(X),-,**,(X),(X),"38,281","+/-8,864",(X),(X)
