MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"29,248","+/-1,865",(X),(X),"38,626","+/-2,317",(X),(X),"19,733","+/-2,793",(X),(X)
Less than high school graduate,"23,401","+/-7,760",(X),(X),"26,766","+/-6,593",(X),(X),"7,105","+/-6,981",(X),(X)
High school graduate (includes equivalency),"29,323","+/-3,052",(X),(X),"36,307","+/-3,088",(X),(X),"17,969","+/-4,439",(X),(X)
Some college or associate's degree,"28,873","+/-2,641",(X),(X),"41,158","+/-3,355",(X),(X),"22,917","+/-5,418",(X),(X)
Bachelor's degree,"37,697","+/-7,403",(X),(X),"56,361","+/-6,026",(X),(X),"17,143","+/-9,753",(X),(X)
Graduate or professional degree,"42,083","+/-12,520",(X),(X),"57,639","+/-23,009",(X),(X),"39,018","+/-9,016",(X),(X)
