MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"37,283","+/-3,273",(X),(X),"48,906","+/-3,426",(X),(X),"29,138","+/-6,667",(X),(X)
Less than high school graduate,"33,750","+/-12,148",(X),(X),"39,625","+/-23,426",(X),(X),"19,271","+/-16,883",(X),(X)
High school graduate (includes equivalency),"32,744","+/-2,783",(X),(X),"45,612","+/-9,851",(X),(X),"24,967","+/-7,360",(X),(X)
Some college or associate's degree,"38,712","+/-6,950",(X),(X),"57,583","+/-13,223",(X),(X),"23,934","+/-6,339",(X),(X)
Bachelor's degree,"50,859","+/-6,343",(X),(X),"49,583","+/-2,897",(X),(X),"68,281","+/-35,742",(X),(X)
Graduate or professional degree,"55,714","+/-16,710",(X),(X),"52,500","+/-27,911",(X),(X),"60,096","+/-17,818",(X),(X)
