MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"35,969","+/-3,438",(X),(X),"47,231","+/-3,546",(X),(X),"26,504","+/-4,733",(X),(X)
Less than high school graduate,"24,514","+/-14,248",(X),(X),"24,583","+/-12,202",(X),(X),-,**,(X),(X)
High school graduate (includes equivalency),"31,742","+/-2,633",(X),(X),"45,019","+/-4,803",(X),(X),"21,393","+/-5,188",(X),(X)
Some college or associate's degree,"39,871","+/-5,334",(X),(X),"65,789","+/-22,930",(X),(X),"27,000","+/-11,924",(X),(X)
Bachelor's degree,"53,194","+/-14,131",(X),(X),"49,265","+/-6,551",(X),(X),"65,787","+/-13,924",(X),(X)
Graduate or professional degree,"51,750","+/-14,860",(X),(X),"48,750","+/-15,819",(X),(X),"58,438","+/-10,919",(X),(X)
