MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"35,903","+/-1,594",(X),(X),"44,307","+/-2,602",(X),(X),"28,964","+/-1,483",(X),(X)
Less than high school graduate,"19,982","+/-5,735",(X),(X),"23,611","+/-8,448",(X),(X),"18,464","+/-12,235",(X),(X)
High school graduate (includes equivalency),"32,053","+/-1,693",(X),(X),"41,383","+/-1,965",(X),(X),"22,227","+/-3,684",(X),(X)
Some college or associate's degree,"34,508","+/-2,893",(X),(X),"47,788","+/-6,030",(X),(X),"27,193","+/-1,902",(X),(X)
Bachelor's degree,"50,526","+/-4,054",(X),(X),"63,796","+/-22,238",(X),(X),"38,042","+/-6,440",(X),(X)
Graduate or professional degree,"57,500","+/-7,249",(X),(X),"61,563","+/-15,580",(X),(X),"57,060","+/-5,614",(X),(X)
