MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"35,204","+/-1,178",(X),(X),"42,979","+/-3,301",(X),(X),"27,818","+/-1,609",(X),(X)
Less than high school graduate,"25,430","+/-3,062",(X),(X),"25,956","+/-6,756",(X),(X),"25,227","+/-4,299",(X),(X)
High school graduate (includes equivalency),"31,317","+/-1,517",(X),(X),"37,471","+/-3,491",(X),(X),"25,275","+/-2,035",(X),(X)
Some college or associate's degree,"36,801","+/-3,144",(X),(X),"50,889","+/-1,630",(X),(X),"24,980","+/-2,555",(X),(X)
Bachelor's degree,"44,449","+/-6,243",(X),(X),"54,497","+/-4,869",(X),(X),"37,665","+/-4,432",(X),(X)
Graduate or professional degree,"60,000","+/-7,211",(X),(X),"67,933","+/-6,157",(X),(X),"48,897","+/-3,750",(X),(X)
