MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"34,650","+/-1,808",(X),(X),"41,543","+/-1,901",(X),(X),"26,649","+/-1,315",(X),(X)
Less than high school graduate,"18,306","+/-3,008",(X),(X),"22,813","+/-8,542",(X),(X),"16,786","+/-5,157",(X),(X)
High school graduate (includes equivalency),"31,699","+/-1,645",(X),(X),"39,432","+/-4,344",(X),(X),"22,312","+/-2,701",(X),(X)
Some college or associate's degree,"33,608","+/-3,950",(X),(X),"45,581","+/-6,693",(X),(X),"25,939","+/-1,779",(X),(X)
Bachelor's degree,"47,865","+/-4,997",(X),(X),"54,792","+/-13,764",(X),(X),"43,365","+/-6,307",(X),(X)
Graduate or professional degree,"59,803","+/-5,771",(X),(X),"64,539","+/-8,574",(X),(X),"56,667","+/-5,483",(X),(X)
