MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"42,143","+/-1,276",(X),(X),"54,081","+/-2,477",(X),(X),"31,568","+/-1,091",(X),(X)
Less than high school graduate,"18,030","+/-5,071",(X),(X),"21,719","+/-2,902",(X),(X),"15,316","+/-2,206",(X),(X)
High school graduate (includes equivalency),"30,638","+/-1,436",(X),(X),"38,387","+/-2,664",(X),(X),"23,556","+/-3,864",(X),(X)
Some college or associate's degree,"36,174","+/-2,265",(X),(X),"45,830","+/-3,101",(X),(X),"27,077","+/-2,547",(X),(X)
Bachelor's degree,"57,572","+/-4,116",(X),(X),"72,218","+/-8,256",(X),(X),"40,740","+/-2,019",(X),(X)
Graduate or professional degree,"81,745","+/-5,363",(X),(X),"116,667","+/-22,928",(X),(X),"64,388","+/-10,807",(X),(X)
