MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"47,091","+/-2,352",(X),(X),"58,897","+/-3,739",(X),(X),"34,421","+/-2,310",(X),(X)
Less than high school graduate,"21,515","+/-2,610",(X),(X),"31,489","+/-8,623",(X),(X),"15,526","+/-2,953",(X),(X)
High school graduate (includes equivalency),"31,860","+/-2,389",(X),(X),"40,432","+/-2,604",(X),(X),"25,456","+/-3,601",(X),(X)
Some college or associate's degree,"40,006","+/-5,901",(X),(X),"50,858","+/-5,377",(X),(X),"27,312","+/-4,709",(X),(X)
Bachelor's degree,"59,552","+/-6,960",(X),(X),"74,678","+/-9,662",(X),(X),"43,413","+/-3,572",(X),(X)
Graduate or professional degree,"86,583","+/-7,044",(X),(X),"104,699","+/-14,963",(X),(X),"66,008","+/-9,427",(X),(X)
