MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"31,506",+/-991,(X),(X),"36,617","+/-3,789",(X),(X),"27,118","+/-1,939",(X),(X)
Less than high school graduate,"30,742","+/-9,075",(X),(X),"32,589","+/-4,978",(X),(X),"21,758","+/-16,017",(X),(X)
High school graduate (includes equivalency),"29,626","+/-2,918",(X),(X),"31,890","+/-1,895",(X),(X),"25,735","+/-4,782",(X),(X)
Some college or associate's degree,"30,721","+/-2,366",(X),(X),"41,573","+/-3,873",(X),(X),"24,093","+/-3,457",(X),(X)
Bachelor's degree,"48,356","+/-6,614",(X),(X),"70,653","+/-18,221",(X),(X),"35,484","+/-8,608",(X),(X)
Graduate or professional degree,"46,500","+/-9,433",(X),(X),"80,769","+/-37,377",(X),(X),"43,293","+/-4,297",(X),(X)
