MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"31,882",+/-490,(X),(X),"38,438","+/-1,764",(X),(X),"26,754",+/-845,(X),(X)
Less than high school graduate,"17,745","+/-2,284",(X),(X),"20,802","+/-3,684",(X),(X),"12,129","+/-2,422",(X),(X)
High school graduate (includes equivalency),"28,112","+/-1,548",(X),(X),"34,582","+/-2,864",(X),(X),"21,376",+/-851,(X),(X)
Some college or associate's degree,"32,149","+/-1,207",(X),(X),"39,194","+/-1,962",(X),(X),"27,334","+/-1,293",(X),(X)
Bachelor's degree,"42,941","+/-2,352",(X),(X),"54,100","+/-3,962",(X),(X),"37,333","+/-2,203",(X),(X)
Graduate or professional degree,"53,247","+/-2,651",(X),(X),"65,721","+/-8,972",(X),(X),"46,705","+/-4,194",(X),(X)
