MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"30,596",+/-570,(X),(X),"35,829",+/-982,(X),(X),"25,956",+/-810,(X),(X)
Less than high school graduate,"17,161","+/-1,717",(X),(X),"19,900","+/-2,510",(X),(X),"13,914","+/-3,113",(X),(X)
High school graduate (includes equivalency),"25,880",+/-856,(X),(X),"31,747","+/-1,034",(X),(X),"20,952",+/-801,(X),(X)
Some college or associate's degree,"30,921",+/-902,(X),(X),"36,791","+/-1,234",(X),(X),"26,796","+/-1,255",(X),(X)
Bachelor's degree,"41,689","+/-1,553",(X),(X),"51,195","+/-3,786",(X),(X),"36,091","+/-2,145",(X),(X)
Graduate or professional degree,"51,967","+/-1,943",(X),(X),"57,617","+/-5,487",(X),(X),"47,235","+/-5,866",(X),(X)
