MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"29,999","+/-1,062",(X),(X),"35,434","+/-1,528",(X),(X),"24,479","+/-1,635",(X),(X)
Less than high school graduate,"17,043","+/-2,830",(X),(X),"21,975","+/-4,735",(X),(X),"13,892","+/-3,219",(X),(X)
High school graduate (includes equivalency),"26,224","+/-1,183",(X),(X),"31,775","+/-1,646",(X),(X),"19,836","+/-1,461",(X),(X)
Some college or associate's degree,"28,273","+/-1,621",(X),(X),"35,223","+/-2,909",(X),(X),"23,620","+/-2,075",(X),(X)
Bachelor's degree,"41,831","+/-1,537",(X),(X),"49,219","+/-5,100",(X),(X),"37,978","+/-3,608",(X),(X)
Graduate or professional degree,"54,698","+/-2,904",(X),(X),"65,114","+/-10,526",(X),(X),"51,230","+/-4,602",(X),(X)
