MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"29,198","+/-1,653",(X),(X),"34,636","+/-1,703",(X),(X),"23,684","+/-1,480",(X),(X)
Less than high school graduate,"16,846","+/-5,904",(X),(X),"21,361","+/-3,164",(X),(X),"13,269","+/-3,344",(X),(X)
High school graduate (includes equivalency),"25,260","+/-1,057",(X),(X),"31,408","+/-1,705",(X),(X),"18,196","+/-1,408",(X),(X)
Some college or associate's degree,"28,775","+/-2,251",(X),(X),"35,836","+/-3,055",(X),(X),"22,757","+/-1,951",(X),(X)
Bachelor's degree,"41,948","+/-2,536",(X),(X),"50,286","+/-7,019",(X),(X),"37,297","+/-3,077",(X),(X)
Graduate or professional degree,"52,825","+/-4,087",(X),(X),"66,250","+/-9,176",(X),(X),"48,986","+/-3,549",(X),(X)
