MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"35,515",+/-316,(X),(X),"42,420",+/-701,(X),(X),"29,275",+/-745,(X),(X)
Less than high school graduate,"22,313","+/-1,131",(X),(X),"26,325","+/-1,502",(X),(X),"19,405","+/-2,165",(X),(X)
High school graduate (includes equivalency),"29,975","+/-1,051",(X),(X),"36,035",+/-681,(X),(X),"23,379","+/-1,291",(X),(X)
Some college or associate's degree,"33,627","+/-1,110",(X),(X),"41,688",+/-949,(X),(X),"27,777",+/-977,(X),(X)
Bachelor's degree,"44,916","+/-1,424",(X),(X),"57,779","+/-3,081",(X),(X),"36,354","+/-1,157",(X),(X)
Graduate or professional degree,"60,368","+/-2,291",(X),(X),"72,675","+/-4,468",(X),(X),"51,257","+/-2,232",(X),(X)
