MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"37,048","+/-1,278",(X),(X),"43,123","+/-2,688",(X),(X),"29,271","+/-2,367",(X),(X)
Less than high school graduate,"22,422","+/-5,125",(X),(X),"25,374","+/-4,593",(X),(X),"14,954","+/-6,346",(X),(X)
High school graduate (includes equivalency),"35,287","+/-1,937",(X),(X),"41,629","+/-1,136",(X),(X),"26,003","+/-1,518",(X),(X)
Some college or associate's degree,"35,445","+/-1,862",(X),(X),"47,790","+/-4,595",(X),(X),"26,699","+/-3,736",(X),(X)
Bachelor's degree,"47,920","+/-3,249",(X),(X),"62,909","+/-10,350",(X),(X),"41,538","+/-3,041",(X),(X)
Graduate or professional degree,"47,995","+/-6,488",(X),(X),"45,750","+/-17,446",(X),(X),"48,875","+/-5,764",(X),(X)
