MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"29,258","+/-1,965",(X),(X),"35,559","+/-1,246",(X),(X),"22,695","+/-1,720",(X),(X)
Less than high school graduate,"22,511","+/-3,716",(X),(X),"24,846","+/-3,852",(X),(X),"14,833","+/-4,685",(X),(X)
High school graduate (includes equivalency),"28,255","+/-2,424",(X),(X),"35,496","+/-1,917",(X),(X),"21,147","+/-1,670",(X),(X)
Some college or associate's degree,"31,007","+/-1,990",(X),(X),"38,536","+/-2,968",(X),(X),"25,572","+/-2,383",(X),(X)
Bachelor's degree,"36,293","+/-3,998",(X),(X),"36,490","+/-18,634",(X),(X),"36,133","+/-5,102",(X),(X)
Graduate or professional degree,"40,417","+/-20,452",(X),(X),"44,821","+/-24,650",(X),(X),"38,846","+/-20,866",(X),(X)
