MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"29,169","+/-2,606",(X),(X),"35,290","+/-1,670",(X),(X),"23,457","+/-1,826",(X),(X)
Less than high school graduate,"22,736","+/-2,529",(X),(X),"24,657","+/-2,027",(X),(X),"15,486","+/-4,835",(X),(X)
High school graduate (includes equivalency),"27,184","+/-2,010",(X),(X),"35,565","+/-1,956",(X),(X),"20,800","+/-2,066",(X),(X)
Some college or associate's degree,"30,984","+/-1,956",(X),(X),"37,421","+/-3,214",(X),(X),"26,833","+/-3,746",(X),(X)
Bachelor's degree,"36,673","+/-3,911",(X),(X),"36,914","+/-18,945",(X),(X),"36,417","+/-4,664",(X),(X)
Graduate or professional degree,"42,063","+/-17,650",(X),(X),"62,841","+/-36,818",(X),(X),"40,563","+/-12,600",(X),(X)
