MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"32,349","+/-1,195",(X),(X),"37,882","+/-1,937",(X),(X),"25,386","+/-2,864",(X),(X)
Less than high school graduate,"23,375","+/-3,285",(X),(X),"27,056","+/-2,836",(X),(X),"14,468","+/-2,024",(X),(X)
High school graduate (includes equivalency),"31,005","+/-1,505",(X),(X),"36,967","+/-2,388",(X),(X),"20,429","+/-2,720",(X),(X)
Some college or associate's degree,"33,191","+/-1,703",(X),(X),"40,347","+/-3,078",(X),(X),"28,491","+/-3,286",(X),(X)
Bachelor's degree,"41,882","+/-5,629",(X),(X),"54,872","+/-9,703",(X),(X),"29,023","+/-5,816",(X),(X)
Graduate or professional degree,"55,216","+/-4,337",(X),(X),"55,238","+/-14,579",(X),(X),"55,211","+/-3,757",(X),(X)
