MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"31,976",+/-818,(X),(X),"36,691","+/-1,303",(X),(X),"26,127","+/-1,702",(X),(X)
Less than high school graduate,"25,088","+/-3,134",(X),(X),"27,124","+/-3,386",(X),(X),"15,690","+/-4,646",(X),(X)
High school graduate (includes equivalency),"30,259","+/-2,232",(X),(X),"34,966","+/-2,897",(X),(X),"20,704","+/-2,009",(X),(X)
Some college or associate's degree,"32,696","+/-1,635",(X),(X),"40,074","+/-2,516",(X),(X),"27,037","+/-3,376",(X),(X)
Bachelor's degree,"41,788","+/-3,871",(X),(X),"50,354","+/-3,999",(X),(X),"31,212","+/-1,356",(X),(X)
Graduate or professional degree,"51,159","+/-5,697",(X),(X),"50,341","+/-11,070",(X),(X),"51,543","+/-5,741",(X),(X)
