MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"31,456",+/-970,(X),(X),"40,366","+/-2,113",(X),(X),"23,241","+/-2,086",(X),(X)
Less than high school graduate,"19,773","+/-6,416",(X),(X),"21,576","+/-4,247",(X),(X),"12,458","+/-10,703",(X),(X)
High school graduate (includes equivalency),"27,863","+/-4,420",(X),(X),"37,380","+/-3,402",(X),(X),"20,532","+/-2,145",(X),(X)
Some college or associate's degree,"32,179","+/-3,792",(X),(X),"53,516","+/-6,869",(X),(X),"23,842","+/-3,826",(X),(X)
Bachelor's degree,"44,063","+/-9,335",(X),(X),"54,048","+/-5,437",(X),(X),"32,000","+/-12,638",(X),(X)
Graduate or professional degree,"46,806","+/-14,583",(X),(X),"42,083","+/-29,554",(X),(X),"46,910","+/-15,976",(X),(X)
