MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"36,923",+/-694,(X),(X),"44,118","+/-1,905",(X),(X),"28,290","+/-1,566",(X),(X)
Less than high school graduate,"27,285","+/-3,444",(X),(X),"38,969","+/-4,804",(X),(X),"17,942","+/-2,714",(X),(X)
High school graduate (includes equivalency),"33,900","+/-1,666",(X),(X),"40,819",+/-996,(X),(X),"25,892","+/-1,829",(X),(X)
Some college or associate's degree,"35,560","+/-1,426",(X),(X),"42,917","+/-2,083",(X),(X),"27,063","+/-1,648",(X),(X)
Bachelor's degree,"43,462","+/-4,644",(X),(X),"60,263","+/-6,799",(X),(X),"34,235","+/-3,708",(X),(X)
Graduate or professional degree,"61,841","+/-2,342",(X),(X),"73,000","+/-15,808",(X),(X),"55,550","+/-9,224",(X),(X)
