MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"34,622","+/-1,086",(X),(X),"41,858",+/-683,(X),(X),"26,151",+/-793,(X),(X)
Less than high school graduate,"26,464","+/-2,161",(X),(X),"35,608","+/-3,449",(X),(X),"15,286","+/-2,800",(X),(X)
High school graduate (includes equivalency),"31,106",+/-849,(X),(X),"37,864","+/-2,204",(X),(X),"23,426","+/-1,979",(X),(X)
Some college or associate's degree,"32,754","+/-1,903",(X),(X),"41,411",+/-897,(X),(X),"26,272","+/-1,880",(X),(X)
Bachelor's degree,"41,910","+/-2,400",(X),(X),"60,721","+/-5,616",(X),(X),"32,608","+/-3,985",(X),(X)
Graduate or professional degree,"61,059","+/-2,915",(X),(X),"73,382","+/-15,537",(X),(X),"58,376","+/-1,960",(X),(X)
