MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"34,113","+/-2,175",(X),(X),"40,337","+/-1,464",(X),(X),"26,674","+/-1,221",(X),(X)
Less than high school graduate,"30,709","+/-3,430",(X),(X),"35,213","+/-7,428",(X),(X),"13,398","+/-3,014",(X),(X)
High school graduate (includes equivalency),"28,374","+/-2,187",(X),(X),"34,435","+/-2,450",(X),(X),"22,484","+/-2,279",(X),(X)
Some college or associate's degree,"35,619","+/-4,431",(X),(X),"42,285","+/-2,693",(X),(X),"26,951","+/-3,089",(X),(X)
Bachelor's degree,"47,348","+/-8,970",(X),(X),"65,198","+/-14,071",(X),(X),"38,705","+/-4,879",(X),(X)
Graduate or professional degree,"57,083","+/-9,659",(X),(X),"55,208","+/-10,776",(X),(X),"60,000","+/-14,147",(X),(X)
