MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"31,945",+/-240,(X),(X),"35,465",+/-522,(X),(X),"29,771",+/-648,(X),(X)
Less than high school graduate,"18,047",+/-710,(X),(X),"20,385",+/-896,(X),(X),"15,817",+/-873,(X),(X)
High school graduate (includes equivalency),"26,343",+/-411,(X),(X),"30,017",+/-761,(X),(X),"23,483",+/-935,(X),(X)
Some college or associate's degree,"30,302",+/-326,(X),(X),"33,649","+/-1,125",(X),(X),"26,741",+/-522,(X),(X)
Bachelor's degree,"43,848","+/-1,246",(X),(X),"50,523","+/-1,279",(X),(X),"40,449",+/-835,(X),(X)
Graduate or professional degree,"58,533","+/-2,233",(X),(X),"66,396","+/-2,036",(X),(X),"53,017","+/-1,631",(X),(X)
