MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"32,173",+/-413,(X),(X),"39,919",+/-996,(X),(X),"26,760",+/-553,(X),(X)
Less than high school graduate,"20,583","+/-1,533",(X),(X),"25,522","+/-1,842",(X),(X),"15,446","+/-1,260",(X),(X)
High school graduate (includes equivalency),"27,147",+/-888,(X),(X),"33,858","+/-1,817",(X),(X),"21,331",+/-924,(X),(X)
Some college or associate's degree,"29,635","+/-1,258",(X),(X),"37,294","+/-1,441",(X),(X),"25,077",+/-868,(X),(X)
Bachelor's degree,"42,468","+/-1,536",(X),(X),"55,071","+/-2,481",(X),(X),"34,502","+/-1,513",(X),(X)
Graduate or professional degree,"57,994","+/-2,608",(X),(X),"70,718","+/-4,790",(X),(X),"47,746","+/-3,764",(X),(X)
