MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"34,175",+/-740,(X),(X),"41,242",+/-660,(X),(X),"28,392",+/-866,(X),(X)
Less than high school graduate,"22,192","+/-1,051",(X),(X),"28,010","+/-1,804",(X),(X),"16,152","+/-1,355",(X),(X)
High school graduate (includes equivalency),"28,086","+/-1,122",(X),(X),"35,391",+/-981,(X),(X),"21,284",+/-961,(X),(X)
Some college or associate's degree,"31,174",+/-698,(X),(X),"39,984","+/-2,424",(X),(X),"26,455",+/-936,(X),(X)
Bachelor's degree,"44,692","+/-1,866",(X),(X),"55,899","+/-3,034",(X),(X),"37,055","+/-1,669",(X),(X)
Graduate or professional degree,"58,564","+/-2,870",(X),(X),"67,792","+/-6,784",(X),(X),"50,798","+/-1,978",(X),(X)
