MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"37,413","+/-2,167",(X),(X),"46,466","+/-2,344",(X),(X),"29,187","+/-2,149",(X),(X)
Less than high school graduate,"18,913","+/-3,933",(X),(X),"29,598","+/-11,320",(X),(X),"13,341","+/-1,639",(X),(X)
High school graduate (includes equivalency),"31,468","+/-1,256",(X),(X),"42,302","+/-2,703",(X),(X),"23,416","+/-2,091",(X),(X)
Some college or associate's degree,"40,085","+/-2,552",(X),(X),"49,379","+/-3,949",(X),(X),"30,399","+/-1,840",(X),(X)
Bachelor's degree,"49,596","+/-3,345",(X),(X),"62,122","+/-6,905",(X),(X),"40,528","+/-5,492",(X),(X)
Graduate or professional degree,"60,240","+/-4,099",(X),(X),"68,693","+/-16,649",(X),(X),"58,577","+/-5,383",(X),(X)
