MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"40,094","+/-2,055",(X),(X),"49,086","+/-2,560",(X),(X),"30,743","+/-1,427",(X),(X)
Less than high school graduate,"20,791","+/-5,282",(X),(X),"23,866","+/-8,856",(X),(X),"14,529","+/-8,780",(X),(X)
High school graduate (includes equivalency),"32,513","+/-2,674",(X),(X),"42,574","+/-4,044",(X),(X),"22,477","+/-2,982",(X),(X)
Some college or associate's degree,"41,005","+/-2,842",(X),(X),"51,963","+/-3,919",(X),(X),"30,555","+/-2,345",(X),(X)
Bachelor's degree,"51,343","+/-2,339",(X),(X),"64,727","+/-9,104",(X),(X),"41,919","+/-5,915",(X),(X)
Graduate or professional degree,"61,987","+/-3,617",(X),(X),"74,479","+/-33,330",(X),(X),"60,729","+/-4,598",(X),(X)
