MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"31,922","+/-2,508",(X),(X),"41,097","+/-2,727",(X),(X),"26,558","+/-2,189",(X),(X)
Less than high school graduate,"13,393","+/-4,292",(X),(X),-,**,(X),(X),"13,643","+/-3,747",(X),(X)
High school graduate (includes equivalency),"31,578","+/-3,709",(X),(X),"40,984","+/-2,114",(X),(X),"21,661","+/-3,986",(X),(X)
Some college or associate's degree,"31,044","+/-3,802",(X),(X),"37,155","+/-7,025",(X),(X),"26,672","+/-3,589",(X),(X)
Bachelor's degree,"42,656","+/-13,335",(X),(X),"62,206","+/-17,089",(X),(X),"33,646","+/-6,107",(X),(X)
Graduate or professional degree,"51,600","+/-10,257",(X),(X),"72,708","+/-47,552",(X),(X),"49,301","+/-9,170",(X),(X)
