MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"32,926","+/-3,301",(X),(X),"41,445","+/-5,206",(X),(X),"28,477","+/-1,996",(X),(X)
Less than high school graduate,"15,451","+/-8,128",(X),(X),"23,000","+/-22,501",(X),(X),"15,035","+/-10,084",(X),(X)
High school graduate (includes equivalency),"31,027","+/-1,938",(X),(X),"41,190","+/-4,075",(X),(X),"23,594","+/-4,242",(X),(X)
Some college or associate's degree,"33,201","+/-4,582",(X),(X),"37,066","+/-7,758",(X),(X),"29,177","+/-3,108",(X),(X)
Bachelor's degree,"45,250","+/-14,461",(X),(X),"70,117","+/-17,730",(X),(X),"35,925","+/-6,372",(X),(X)
Graduate or professional degree,"49,116","+/-8,738",(X),(X),"51,500","+/-18,885",(X),(X),"48,321","+/-12,224",(X),(X)
