MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"51,210",+/-543,(X),(X),"65,932","+/-1,606",(X),(X),"39,869","+/-1,526",(X),(X)
Less than high school graduate,"26,221","+/-2,349",(X),(X),"28,403","+/-6,236",(X),(X),"21,427","+/-3,179",(X),(X)
High school graduate (includes equivalency),"30,282","+/-1,755",(X),(X),"38,299","+/-3,825",(X),(X),"23,385","+/-2,111",(X),(X)
Some college or associate's degree,"41,245","+/-1,050",(X),(X),"50,216","+/-1,754",(X),(X),"32,157","+/-1,901",(X),(X)
Bachelor's degree,"59,213","+/-2,722",(X),(X),"76,135","+/-1,414",(X),(X),"41,787","+/-1,314",(X),(X)
Graduate or professional degree,"81,104","+/-1,678",(X),(X),"102,079","+/-2,946",(X),(X),"63,057","+/-2,238",(X),(X)
