MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"35,043","+/-2,440",(X),(X),"41,974","+/-2,659",(X),(X),"30,210","+/-2,000",(X),(X)
Less than high school graduate,"27,330","+/-7,921",(X),(X),"30,158","+/-5,639",(X),(X),"16,500","+/-14,097",(X),(X)
High school graduate (includes equivalency),"34,218","+/-3,065",(X),(X),"41,921","+/-2,099",(X),(X),"25,589","+/-2,684",(X),(X)
Some college or associate's degree,"32,117","+/-2,617",(X),(X),"46,420","+/-12,453",(X),(X),"25,446","+/-6,859",(X),(X)
Bachelor's degree,"49,659","+/-12,310",(X),(X),"54,659","+/-8,611",(X),(X),"42,270","+/-10,955",(X),(X)
Graduate or professional degree,"59,375","+/-10,635",(X),(X),"61,731","+/-14,422",(X),(X),"53,393","+/-14,577",(X),(X)
