MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"37,422","+/-1,525",(X),(X),"44,751","+/-2,600",(X),(X),"28,818","+/-1,571",(X),(X)
Less than high school graduate,"25,509","+/-2,497",(X),(X),"35,221","+/-12,326",(X),(X),"20,903","+/-4,319",(X),(X)
High school graduate (includes equivalency),"32,128","+/-1,651",(X),(X),"40,551","+/-1,167",(X),(X),"24,393","+/-2,187",(X),(X)
Some college or associate's degree,"38,734","+/-3,411",(X),(X),"46,071","+/-5,246",(X),(X),"29,644","+/-2,652",(X),(X)
Bachelor's degree,"49,922","+/-2,544",(X),(X),"62,384","+/-10,796",(X),(X),"44,550","+/-4,023",(X),(X)
Graduate or professional degree,"61,535","+/-3,438",(X),(X),"72,100","+/-11,059",(X),(X),"56,482","+/-4,026",(X),(X)
