MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"35,341","+/-1,533",(X),(X),"42,129","+/-1,148",(X),(X),"26,962","+/-1,404",(X),(X)
Less than high school graduate,"22,282","+/-4,950",(X),(X),"26,250","+/-13,270",(X),(X),"16,603","+/-5,841",(X),(X)
High school graduate (includes equivalency),"30,701","+/-1,931",(X),(X),"40,085","+/-2,793",(X),(X),"23,436","+/-1,903",(X),(X)
Some college or associate's degree,"35,745","+/-2,940",(X),(X),"42,696","+/-3,801",(X),(X),"26,627","+/-2,301",(X),(X)
Bachelor's degree,"46,976","+/-6,544",(X),(X),"61,250","+/-7,292",(X),(X),"37,675","+/-4,390",(X),(X)
Graduate or professional degree,"59,295","+/-6,448",(X),(X),"69,702","+/-8,913",(X),(X),"54,046","+/-2,893",(X),(X)
