MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"30,505",+/-663,(X),(X),"36,334","+/-1,274",(X),(X),"24,570","+/-1,895",(X),(X)
Less than high school graduate,"21,086","+/-2,868",(X),(X),"24,784","+/-4,312",(X),(X),"13,125","+/-1,962",(X),(X)
High school graduate (includes equivalency),"28,112","+/-1,816",(X),(X),"37,291","+/-3,053",(X),(X),"20,539","+/-1,490",(X),(X)
Some college or associate's degree,"31,889","+/-1,172",(X),(X),"41,347","+/-1,978",(X),(X),"25,804","+/-1,805",(X),(X)
Bachelor's degree,"40,088","+/-6,118",(X),(X),"45,950","+/-5,156",(X),(X),"33,971","+/-3,279",(X),(X)
Graduate or professional degree,"46,344","+/-5,374",(X),(X),"42,986","+/-10,485",(X),(X),"47,250","+/-7,569",(X),(X)
