MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"31,665",+/-824,(X),(X),"36,907","+/-1,311",(X),(X),"26,589","+/-1,211",(X),(X)
Less than high school graduate,"21,630","+/-5,087",(X),(X),"25,743","+/-4,794",(X),(X),"14,709","+/-4,558",(X),(X)
High school graduate (includes equivalency),"30,796","+/-1,583",(X),(X),"36,970","+/-2,883",(X),(X),"24,688","+/-2,557",(X),(X)
Some college or associate's degree,"31,809","+/-1,285",(X),(X),"40,779","+/-4,532",(X),(X),"26,018","+/-1,945",(X),(X)
Bachelor's degree,"41,395","+/-3,766",(X),(X),"49,420","+/-5,506",(X),(X),"34,026","+/-3,319",(X),(X)
Graduate or professional degree,"49,282","+/-5,883",(X),(X),"63,167","+/-20,635",(X),(X),"48,356","+/-4,241",(X),(X)
