MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"38,761","+/-1,313",(X),(X),"47,038","+/-2,086",(X),(X),"31,821",+/-833,(X),(X)
Less than high school graduate,"21,729","+/-4,254",(X),(X),"29,938","+/-6,263",(X),(X),"13,661","+/-4,480",(X),(X)
High school graduate (includes equivalency),"31,305","+/-1,156",(X),(X),"38,153","+/-3,520",(X),(X),"24,403","+/-3,144",(X),(X)
Some college or associate's degree,"35,032","+/-1,562",(X),(X),"43,339","+/-2,694",(X),(X),"30,367","+/-1,399",(X),(X)
Bachelor's degree,"52,325","+/-2,335",(X),(X),"67,805","+/-5,222",(X),(X),"40,043","+/-2,979",(X),(X)
Graduate or professional degree,"66,820","+/-3,170",(X),(X),"79,554","+/-9,072",(X),(X),"60,998","+/-1,637",(X),(X)
